"BLOOD" "HIPPOC" "CORTEX" "HYPOTH" "SKM-GN" "SKM-VL" "HEART" "KIDNEY" "ADRNL" "COLON" "SPLEEN" "LUNG" "SMLINT" "LIVER" "WAT-SC"
"113" 0.590527 0.689394 0.810928 0.461078 0.547104 0.539513 0.581263 0.479954 0.587207 0.528873 0.662114 0.643262 0.596824 0.533887 0.480323
"114" 0.46016 0.602332 0.390193 0.628734 0.529105 0.51089 0.514481 0.463329 0.627687 0.560773 0.621609 0.710991 0.594549 0.437456 0.413321
"115" 0.484592 0.654134 0.380047 0.539237 0.543027 0.547723 0.45764 0.472228 0.633951 0.507742 0.59706 0.717713 0.543056 0.443771 0.401954
"116" 0.483254 0.576838 0.664434 0.481726 0.54156 0.427863 0.622419 0.496441 0.609796 0.521894 0.66961 0.674568 0.453815 0.509504 0.485477
"117" 0.50347 0.54157 0.684898 0.430427 0.539691 0.520186 0.555889 0.43856 0.573976 0.585153 0.637799 0.621531 0.649481 0.454802 0.414549
"118" 0.512661 0.668355 0.409429 0.562844 0.538895 0.505528 0.532985 0.505042 0.632233 0.476583 0.626317 0.73239 0.539474 0.508387 0.471462
"119" 0.474596 0.467563 0.414501 0.517448 0.526002 0.543617 0.517427 0.44981 0.552872 0.47265 0.644803 0.806473 0.669729 0.409871 0.48439
"120" 0.419102 0.629626 0.481434 0.565593 0.573322 0.520163 0.524639 0.490656 0.589327 0.565579 0.593479 0.662851 0.708427 0.516805 0.439355
"121" 0.426032 0.630147 0.443081 0.491014 0.490316 0.523639 0.539161 0.475172 0.584295 0.563256 0.616783 0.647472 0.663355 0.456564 0.443996
"122" 0.60677 0.573791 0.674718 0.577058 0.575577 0.523248 0.544119 0.503208 0.605155 0.508691 0.617341 0.577967 0.459272 0.527906 0.450462
"123" 0.409691 0.65093 0.410961 0.449698 0.495022 0.49274 0.538686 0.47028 0.605739 0.577558 0.665045 0.70811 0.715032 0.438991 0.448383
"124" 0.555586 0.53288 0.669762 0.436186 0.54766 0.470036 0.524353 0.469485 0.596467 0.474553 0.58458 0.571991 0.404534 0.487925 0.437826
"125" 0.469388 0.641268 0.430995 0.591742 0.51944 0.565071 0.544594 0.498609 0.602767 0.582964 0.667983 0.689279 0.750872 0.477027 0.446693
"126" 0.505025 0.428161 0.564737 0.423398 0.572827 0.506702 0.489405 0.439541 0.588945 0.535112 0.643145 0.639289 0.375226 0.445981 0.458449
"127" 0.510057 0.626367 0.561122 0.525965 0.474422 0.513024 0.568285 0.523429 0.575468 0.517723 0.550292 0.539337 0.658042 0.515936 0.438
"128" 0.538819 0.650094 0.659182 0.577258 0.527943 0.495705 0.578443 0.466944 0.582291 0.531058 0.549882 0.453544 0.59912 0.52691 0.445814
"129" 0.534551 0.58129 0.510701 0.369861 0.527035 0.527172 0.494256 0.46652 0.60126 0.525632 0.68929 0.692596 0.545854 0.353785 0.424402
"130" 0.456486 0.5505 0.590138 0.566629 0.53544 0.471436 0.568937 0.490459 0.590146 0.481062 0.56676 0.550344 0.535347 0.562148 0.461198
"131" 0.607074 0.510222 0.411136 0.403935 0.502265 0.552206 0.520195 0.505829 0.532541 0.53227 0.541666 0.575414 0.512096 0.417276 0.427148
"132" 0.607157 0.702718 0.562954 0.531931 0.465394 0.488452 0.56681 0.445114 0.576825 0.51529 0.624294 0.612838 0.543898 0.520599 0.464699
"133" 0.524022 0.594019 0.600998 0.549752 0.531157 0.590795 0.5322 0.450377 0.565861 0.526141 0.550621 0.634049 0.528486 0.452176 0.425812
"134" 0.471953 0.540419 0.472955 0.493089 0.546857 0.489567 0.541064 0.539244 0.592814 0.496179 0.694707 0.615187 0.533979 0.468986 0.480962
"135" 0.562103 0.610479 0.56722 0.5808 0.51799 0.476247 0.543804 0.501981 0.660692 0.491666 0.513229 0.619705 0.514667 0.502451 0.422297
"136" 0.454644 0.583602 0.504201 0.383446 0.543173 0.549606 0.526795 0.456416 0.500919 0.563346 0.69625 0.591046 0.566539 0.464253 0.472902
"137" 0.580678 0.683946 0.741928 0.635299 0.518544 0.474701 0.59428 0.529684 0.663732 0.497945 0.61473 0.739924 0.546787 0.509082 0.432218
"138" 0.414151 0.522583 0.527981 0.444309 0.549573 0.55241 0.483306 0.427655 0.610209 0.540904 0.623296 0.654585 0.600419 0.465895 0.454669
"139" 0.39619 0.487664 0.585009 0.430813 0.463647 0.509199 0.507717 0.452645 0.575037 0.482643 0.577614 0.645187 0.686263 0.454548 0.4544
"140" 0.40402 0.539245 0.602014 0.446146 0.466958 0.532834 0.487857 0.458943 0.583912 0.47881 0.585145 0.666455 0.688427 0.439783 0.45733
"141" 0.454387 0.612673 0.729329 0.489685 0.569977 0.524112 0.571129 0.479835 0.584446 0.519104 0.696424 0.668527 0.489607 0.453944 0.445804
"142" 0.488669 0.661758 0.548445 0.387777 0.552624 0.405678 0.58495 0.462922 0.597049 0.452414 0.604878 0.609437 0.502779 0.497556 0.434555
"143" 0.500524 0.575337 0.647549 0.415845 0.518697 0.541152 0.486316 0.454793 0.644552 0.497949 0.573498 0.668182 0.539741 0.408435 0.41385
"144" 0.487266 0.49295 0.690427 0.469508 0.536027 0.538035 0.495386 0.478809 0.619559 0.592669 0.684107 0.635476 0.374679 0.454165 0.440139
"145" 0.568896 0.589455 0.659465 0.422119 0.494213 0.522112 0.514473 0.498844 0.584116 0.564063 0.70019 0.614551 0.474099 0.531247 0.453173
